ID	READS	TYPE
1688426_S30_L001	fofn/1688426_S30_L001.fofn	Illumina
1688426_S30_L002	fofn/1688426_S30_L002.fofn	Illumina
1688426_S30_L003	fofn/1688426_S30_L003.fofn	Illumina
20260113_1129_2C_PBI08323_751ee8b4	fofn/20260113_1129_2C_PBI08323_751ee8b4.fofn	ONT
20260113_1129_2D_PBI15629_f16637ab	fofn/20260113_1129_2D_PBI15629_f16637ab.fofn	ONT
20260120_1415_3G_PBK24531_b9258291	fofn/20260120_1415_3G_PBK24531_b9258291.fofn	ONT
20260127_1126_1G_PBK24364_27ebf767	fofn/20260127_1126_1G_PBK24364_27ebf767.fofn	ONT
m84046_260306_231608_s1	fofn/m84046_260306_231608_s1.fofn	PacBio
m84046_260313_223401_s1	fofn/m84046_260313_223401_s1.fofn	PacBio
m84046_260314_003859_s2	fofn/m84046_260314_003859_s2.fofn	PacBio
